cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
0.0582,44,14096,1,-0.0718,-0.013600000000000001,-0.2562762937373099,-0.5323092178567228,-0.2009215764444837,-0.39237252897918834,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.37513072676470527,-0.48620778,4.197,23.49
0.0466,44,14138,1,0.1613,0.2079,-0.5308565974425541,-9.733639807972361,11.71897702365371,10.984187329975342,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.4195485267647052,2.0653777,3.58699999999999,31.7
-0.0075,44,14181,1,-0.0583,-0.0658,0.9518765959153158,0.8821114117737392,-3.9515258471337145,-4.96450087205033,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.6725655267647053,-2.7143629,4.108,66.96
0.0101,44,14208,1,-0.1222,-0.1121,-0.5857710802627555,-0.2281321829993522,-1.3480030926135302,0.5032626757779461,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.5965063267647053,-2.3078785,3.289,64.7
-0.1354,44,14214,1,0.0552,-0.0802,-2.288167183955613,-2.098815323153431,-0.9577178267300087,-0.8075228631594421,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.4862856267647053,-1.4286845,2.856,55.84
-0.0366,44,14229,1,-0.1564,-0.193,-1.482734968976457,-1.0950345392321394,0.2639164977266666,0.8769736809710308,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.3342417267647053,-4.9644175,2.357,56.76
0.0106,44,14272,1,0.0232,0.0338,0.42102085882403584,0.07604425871434267,0.202342495592541,0.11631422839863233,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.14382492676470537,0.24683031,2.809,42.25
-0.0831,44,14321,1,-0.0859,-0.16899999999999998,-1.5193455699661478,-0.42584661992829326,-0.17903012684645242,-0.21089865067121563,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.1139855267647053,-2.0273132,2.651,40.8
0.0128,44,14363,1,-0.0621,-0.049300000000000004,1.2264591145674573,0.9429459457593931,0.9219967331292278,0.5640474061974255,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.09309102676470538,-0.019549303,3.287,37.95
8e-4,44,14419,1,-0.0705,-0.0697,-0.7688227672262795,-0.2129233631949893,-0.27995544367100644,0.018451801133696332,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.3839589267647052,-2.8657138,3.901,30.58
-0.0083,44,14468,1,-0.0757,-0.084,-1.1349328775207506,-0.8821110315534342,-0.2259890438006385,-0.5603363314026382,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.5578212267647054,-1.7170315,3.96,25.99
-0.0513,44,14510,1,-0.001,-0.0523,-0.10983294705321392,0.228132319878662,-0.08151736137335382,0.060096192792598355,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.36871772676470527,-0.91174364,3.61899999999999,23.08
0.0215,44,14552,1,-0.0734,-0.05190000000000001,-0.6040761519407728,-0.39542952783680657,-0.12371284396210151,-0.2619003880669331,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.40003272676470525,-1.5903063,3.809,28.81
-0.0757,44,14594,1,-0.0202,-0.0959,-1.3729007863123706,-0.5323081988663054,-1.4990880616246325,-1.3499253778534286,1,4.86541,2.36,NA,106.93,158.832,183.76751,52.80561,0.37193202676470527,-2.4018378,3.82899999999999,21.49
-0.0143,44,14636,1,0.0148,5.000000000000004e-4,0.18305249239875943,0.15208800032907052,0.1760129761132468,0.17632124123577672,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,0.20938842676470526,0.5305041,3.801,24.55
